index,Price [$/MWh]
9/02/17 21:40,124.99
9/02/17 21:45,124.99
9/02/17 21:50,124.99
9/02/17 21:55,124.99
9/02/17 22:00,182.62
9/02/17 22:05,182.62
9/02/17 22:10,182.62
9/02/17 22:15,182.62
9/02/17 22:20,182.62
9/02/17 22:25,182.62
9/02/17 22:30,198.36
9/02/17 22:35,198.36
9/02/17 22:40,198.36
9/02/17 22:45,198.36
9/02/17 22:50,198.36
9/02/17 22:55,198.36
9/02/17 23:00,126.11
9/02/17 23:05,126.11
9/02/17 23:10,126.11
9/02/17 23:15,126.11
9/02/17 23:20,126.11
9/02/17 23:25,126.11
9/02/17 23:30,106.27
9/02/17 23:35,106.27
9/02/17 23:40,106.27
9/02/17 23:45,106.27
9/02/17 23:50,106.27
9/02/17 23:55,106.27
10/02/17 0:00,104.9
10/02/17 0:05,104.9
10/02/17 0:10,104.9
10/02/17 0:15,104.9
10/02/17 0:20,104.9
10/02/17 0:25,104.9
10/02/17 0:30,127.82
10/02/17 0:35,127.82
10/02/17 0:40,127.82
10/02/17 0:45,127.82
10/02/17 0:50,127.82
10/02/17 0:55,127.82
10/02/17 1:00,154.88
10/02/17 1:05,154.88
10/02/17 1:10,154.88
10/02/17 1:15,154.88
10/02/17 1:20,154.88
10/02/17 1:25,154.88
10/02/17 1:30,189.62
10/02/17 1:35,189.62
10/02/17 1:40,189.62
10/02/17 1:45,189.62
10/02/17 1:50,189.62
10/02/17 1:55,189.62
10/02/17 2:00,164.93
10/02/17 2:05,164.93
10/02/17 2:10,164.93
10/02/17 2:15,164.93
10/02/17 2:20,164.93
10/02/17 2:25,164.93
10/02/17 2:30,127.03
10/02/17 2:35,127.03
10/02/17 2:40,127.03
10/02/17 2:45,127.03
10/02/17 2:50,127.03
10/02/17 2:55,127.03
10/02/17 3:00,116.92
10/02/17 3:05,116.92
10/02/17 3:10,116.92
10/02/17 3:15,116.92
10/02/17 3:20,116.92
10/02/17 3:25,116.92
10/02/17 3:30,116.66
10/02/17 3:35,116.66
10/02/17 3:40,116.66
10/02/17 3:45,116.66
