index,C_forecast_electricity_price_hh_0 [$/MWh],C_forecast_electricity_price_hh_1 [$/MWh],C_forecast_electricity_price_hh_2 [$/MWh],C_forecast_electricity_price_hh_3 [$/MWh],C_demand [MW]
2017-02-08 21:20:00,185.36,237.71,150.22,143.04,0.0
2017-02-08 21:25:00,185.36,237.71,150.22,143.04,0.0
2017-02-08 21:30:00,237.71,150.22,143.04,132.08,3.8925137754599177
2017-02-08 21:35:00,237.71,150.22,143.04,132.08,0.0
2017-02-08 21:40:00,237.71,150.22,143.04,132.08,201.86192695309072
2017-02-08 21:45:00,237.71,150.22,143.04,132.08,0.0
2017-02-08 21:50:00,237.71,150.22,143.04,132.08,0.0
2017-02-08 21:55:00,237.71,150.22,143.04,132.08,0.0
2017-02-08 22:00:00,150.22,143.04,132.08,143.98,107.33638017074446
2017-02-08 22:05:00,150.22,143.04,132.08,143.98,0.0
2017-02-08 22:10:00,150.22,143.04,132.08,143.98,0.0
2017-02-08 22:15:00,150.22,143.04,132.08,143.98,129.26485164002275
2017-02-08 22:20:00,150.22,143.04,132.08,143.98,323.4949751443884
2017-02-08 22:25:00,150.22,143.04,132.08,143.98,218.62239091798585
2017-02-08 22:30:00,143.04,132.08,143.98,125.35,0.0
2017-02-08 22:35:00,143.04,132.08,143.98,125.35,0.0
2017-02-08 22:40:00,143.04,132.08,143.98,125.35,0.0
2017-02-08 22:45:00,143.04,132.08,143.98,125.35,0.0
2017-02-08 22:50:00,143.04,132.08,143.98,125.35,0.0
2017-02-08 22:55:00,143.04,132.08,143.98,125.35,325.62618507590224
2017-02-08 23:00:00,132.08,143.98,125.35,120.05,736.0450735842127
2017-02-08 23:05:00,132.08,143.98,125.35,120.05,113.53783675225695
2017-02-08 23:10:00,132.08,143.98,125.35,120.05,3.5386077599179973
2017-02-08 23:15:00,132.08,143.98,125.35,120.05,0.0
2017-02-08 23:20:00,132.08,143.98,125.35,120.05,0.9326106484397906
2017-02-08 23:25:00,132.08,143.98,125.35,120.05,0.0
2017-02-08 23:30:00,143.98,125.35,120.05,91.55,28.245737387664434
2017-02-08 23:35:00,143.98,125.35,120.05,91.55,773.8715789391026
2017-02-08 23:40:00,143.98,125.35,120.05,91.55,2982.721197531582
2017-02-08 23:45:00,143.98,125.35,120.05,91.55,26.239824639425112
2017-02-08 23:50:00,143.98,125.35,120.05,91.55,0.0
2017-02-08 23:55:00,143.98,125.35,120.05,91.55,1295.5745831008846
2017-02-09 00:00:00,125.35,120.05,91.55,111.99,2558.310275623938
2017-02-09 00:05:00,125.35,120.05,91.55,111.99,0.0
2017-02-09 00:10:00,125.35,120.05,91.55,111.99,482.3470519778332
2017-02-09 00:15:00,125.35,120.05,91.55,111.99,257.3064787200933
2017-02-09 00:20:00,125.35,120.05,91.55,111.99,0.0
2017-02-09 00:25:00,125.35,120.05,91.55,111.99,4.60496141141142
2017-02-09 00:30:00,120.05,91.55,111.99,107.97,98.87136113197587
2017-02-09 00:35:00,120.05,91.55,111.99,107.97,0.0
2017-02-09 00:40:00,120.05,91.55,111.99,107.97,0.0
2017-02-09 00:45:00,120.05,91.55,111.99,107.97,666.0861943497102
2017-02-09 00:50:00,120.05,91.55,111.99,107.97,206.1156785297176
2017-02-09 00:55:00,120.05,91.55,111.99,107.97,2324.133989196248
2017-02-09 01:00:00,91.55,111.99,107.97,115.42,0.0
2017-02-09 01:05:00,91.55,111.99,107.97,115.42,0.0
2017-02-09 01:10:00,91.55,111.99,107.97,115.42,107.43015314722
2017-02-09 01:15:00,91.55,111.99,107.97,115.42,43.56433062426264
2017-02-09 01:20:00,91.55,111.99,107.97,115.42,0.0
2017-02-09 01:25:00,91.55,111.99,107.97,115.42,235.3811152459985
2017-02-09 01:30:00,111.99,107.97,115.42,132.72,928.9952501332201
2017-02-09 01:35:00,111.99,107.97,115.42,132.72,274.3486591556525
2017-02-09 01:40:00,111.99,107.97,115.42,132.72,0.0
2017-02-09 01:45:00,111.99,107.97,115.42,132.72,308.6190026427608
2017-02-09 01:50:00,111.99,107.97,115.42,132.72,0.0
2017-02-09 01:55:00,111.99,107.97,115.42,132.72,0.0
2017-02-09 02:00:00,107.97,115.42,132.72,132.3,272.7674824728651
2017-02-09 02:05:00,107.97,115.42,132.72,132.3,369.2851729757083
2017-02-09 02:10:00,107.97,115.42,132.72,132.3,163.22691273993476
2017-02-09 02:15:00,107.97,115.42,132.72,132.3,0.0
2017-02-09 02:20:00,107.97,115.42,132.72,132.3,13.723487333489262
2017-02-09 02:25:00,107.97,115.42,132.72,132.3,63.717035333099844
2017-02-09 02:30:00,115.42,132.72,132.3,121.46,316.7892135026948
2017-02-09 02:35:00,115.42,132.72,132.3,121.46,0.0
2017-02-09 02:40:00,115.42,132.72,132.3,121.46,305.3043096956218
2017-02-09 02:45:00,115.42,132.72,132.3,121.46,161.90910433197158
2017-02-09 02:50:00,115.42,132.72,132.3,121.46,0.0
2017-02-09 02:55:00,115.42,132.72,132.3,121.46,176.39494068658263
2017-02-09 03:00:00,132.72,132.3,121.46,128.4,404.7301368117417
2017-02-09 03:05:00,132.72,132.3,121.46,128.4,40.21181160964423
2017-02-09 03:10:00,132.72,132.3,121.46,128.4,0.0
2017-02-09 03:15:00,132.72,132.3,121.46,128.4,182.89885507017132
2017-02-09 03:20:00,132.72,132.3,121.46,128.4,847.2515842449103
2017-02-09 03:25:00,132.72,132.3,121.46,128.4,0.0
2017-02-09 03:30:00,132.3,121.46,128.4,139.6,370.5464552674929
2017-02-09 03:35:00,132.3,121.46,128.4,139.6,0.0
2017-02-09 03:40:00,132.3,121.46,128.4,139.6,0.0
2017-02-09 03:45:00,132.3,121.46,128.4,139.6,0.0
2017-02-09 03:50:00,132.3,121.46,128.4,139.6,0.0
2017-02-09 03:55:00,132.3,121.46,128.4,139.6,710.7090664973779
2017-02-09 04:00:00,121.46,128.4,139.6,152.1,195.77179854647582
2017-02-09 04:05:00,121.46,128.4,139.6,152.1,1555.6603777770206
2017-02-09 04:10:00,121.46,128.4,139.6,152.1,1385.7711476094605
2017-02-09 04:15:00,121.46,128.4,139.6,152.1,971.3630615553463
2017-02-09 04:20:00,121.46,128.4,139.6,152.1,0.0
2017-02-09 04:25:00,121.46,128.4,139.6,152.1,0.0
2017-02-09 04:30:00,128.4,139.6,152.1,162.28,0.0
2017-02-09 04:35:00,128.4,139.6,152.1,162.28,3.7762654366213058
2017-02-09 04:40:00,128.4,139.6,152.1,162.28,0.0
2017-02-09 04:45:00,128.4,139.6,152.1,162.28,0.0
2017-02-09 04:50:00,128.4,139.6,152.1,162.28,75.67920718948487
2017-02-09 04:55:00,128.4,139.6,152.1,162.28,298.074354956362
2017-02-09 05:00:00,139.6,152.1,162.28,350.1,0.0
2017-02-09 05:05:00,139.6,152.1,162.28,350.1,1135.6376942654676
2017-02-09 05:10:00,139.6,152.1,162.28,350.1,820.4989009396901
2017-02-09 05:15:00,139.6,152.1,162.28,350.1,0.0
2017-02-09 05:20:00,139.6,152.1,162.28,350.1,256.1098439648258
2017-02-09 05:25:00,139.6,152.1,162.28,350.1,404.7373714012489
2017-02-09 05:30:00,152.1,162.28,350.1,215.76,0.0
2017-02-09 05:35:00,152.1,162.28,350.1,215.76,316.10484402143095
2017-02-09 05:40:00,152.1,162.28,350.1,215.76,971.6225022262104
2017-02-09 05:45:00,152.1,162.28,350.1,215.76,396.6052710706459
2017-02-09 05:50:00,152.1,162.28,350.1,215.76,298.66494533622983
2017-02-09 05:55:00,152.1,162.28,350.1,215.76,0.0
2017-02-09 06:00:00,162.28,350.1,215.76,160.16,0.0
2017-02-09 06:05:00,162.28,350.1,215.76,160.16,0.0
2017-02-09 06:10:00,162.28,350.1,215.76,160.16,1146.3517982712988
2017-02-09 06:15:00,162.28,350.1,215.76,160.16,388.1917444554409
2017-02-09 06:20:00,162.28,350.1,215.76,160.16,0.0
2017-02-09 06:25:00,162.28,350.1,215.76,160.16,940.3027267827187
2017-02-09 06:30:00,350.1,215.76,160.16,256.37,361.8872691477537
2017-02-09 06:35:00,350.1,215.76,160.16,256.37,517.0715031466442
2017-02-09 06:40:00,350.1,215.76,160.16,256.37,0.0
2017-02-09 06:45:00,350.1,215.76,160.16,256.37,431.52937930647545
2017-02-09 06:50:00,350.1,215.76,160.16,256.37,195.99972847587486
2017-02-09 06:55:00,350.1,215.76,160.16,256.37,402.9087045806701
2017-02-09 07:00:00,215.76,160.16,256.37,317.15,4682.34758148146
2017-02-09 07:05:00,215.76,160.16,256.37,317.15,2079.7083896749
2017-02-09 07:10:00,215.76,160.16,256.37,317.15,0.0
2017-02-09 07:15:00,215.76,160.16,256.37,317.15,477.41227595910345
2017-02-09 07:20:00,215.76,160.16,256.37,317.15,0.0
2017-02-09 07:25:00,215.76,160.16,256.37,317.15,438.7288231249891
