episode,action,next_observation,observation,reward,step
5,[[ 0.10136878  0.22665478]],[[-50.   0.]],[[-50.   0.]],0.0,24
5,[[ 1.61283461  0.49177102]],[[-50.           0.08407977]],[[-50.   0.]],4.671098299429779,25
5,[[ 0.66815265  0.86333095]],[[ 50.           0.06781491]],[[-50.           0.08407977]],-0.8132429196137658,26
5,[[ 1.27422238  1.77207132]],[[  5.00000000e+01   2.63274997e-02]],[[ 50.           0.06781491]],2.0743705663740424,27
5,[[ 0.20894322  0.94157398]],[[ 50.   0.]],[[  5.00000000e+01   2.63274997e-02]],1.3163749834989933,28
5,[[ 0.13922663  1.58750071]],[[ 50.   0.]],[[ 50.   0.]],-0.0,29
5,[[ 1.37298457  1.09807327]],[[  1.00000000e+02   2.06183480e-02]],[[ 50.   0.]],-1.1454637765985773,30
5,[[ 0.75206319  1.48524185]],[[ 100.    0.]],[[  1.00000000e+02   2.06183480e-02]],2.0618347978774394,31
5,[[ 1.80312177  1.17200195]],[[  1.00000000e+02   4.73339869e-02]],[[ 100.    0.]],-5.259331882234704,32
5,[[ 1.09916514  0.50369989]],[[  1.00000000e+02   9.19938804e-02]],[[  1.00000000e+02   4.73339869e-02]],-4.962210385606836,33
5,[[ 1.72358445  1.97675951]],[[  1.00000000e+02   7.08959588e-02]],[[  1.00000000e+02   9.19938804e-02]],2.1097921583304826,34
5,[[ 1.54830122  1.10290223]],[[-50.           0.10430088]],[[  1.00000000e+02   7.08959588e-02]],-3.711658207736837,35
5,[[ 0.41984512  0.42424916]],[[-50.           0.10393388]],[[-50.           0.10430088]],-0.018350161021646327,36
5,[[ 0.3242192   1.26127447]],[[ -5.00000000e+01   2.58459396e-02]],[[-50.           0.10393388]],-3.9043969936929788,37
5,[[ 0.01176977  0.23794143]],[[ -5.00000000e+01   6.99830141e-03]],[[ -5.00000000e+01   2.58459396e-02]],-0.9423819094154814,38
5,[[ 1.28946385  1.27432581]],[[  5.00000000e+01   8.13365467e-03]],[[ -5.00000000e+01   6.99830141e-03]],0.06307518072996661,39
5,[[ 0.87319699  1.69444173]],[[ 50.   0.]],[[  5.00000000e+01   8.13365467e-03]],0.40668273337189215,40
5,[[ 1.11896539  0.24111184]],[[ 50.           0.06583902]],[[ 50.   0.]],-3.657723132416452,41
5,[[ 0.57544523  0.60737646]],[[ 50.           0.06317808]],[[ 50.           0.06583902]],0.1330467662023188,42
