,electricity_price_[$/MWh],electricity_demand_[MW],month,day,hour,minute,weekday
15/11/2009 23:00,23.3,10,11,15,23,0,6
15/11/2009 23:05,23.3,10,11,15,23,5,6
15/11/2009 23:10,23.3,10,11,15,23,10,6
15/11/2009 23:15,23.3,10,11,15,23,15,6
15/11/2009 23:20,23.3,10,11,15,23,20,6
15/11/2009 23:25,23.3,10,11,15,23,25,6
15/11/2009 23:30,25.54,10,11,15,23,30,6
15/11/2009 23:35,25.54,10,11,15,23,35,6
15/11/2009 23:40,25.54,10,11,15,23,40,6
15/11/2009 23:45,25.54,10,11,15,23,45,6
15/11/2009 23:50,25.54,10,11,15,23,50,6
15/11/2009 23:55,25.54,10,11,15,23,55,6
16/11/2009 00:00,30.14,10,11,16,0,0,0
16/11/2009 00:05,30.14,10,11,16,0,5,0
16/11/2009 00:10,30.14,10,11,16,0,10,0
16/11/2009 00:15,30.14,10,11,16,0,15,0
16/11/2009 00:20,30.14,10,11,16,0,20,0
16/11/2009 00:25,30.14,10,11,16,0,25,0
16/11/2009 00:30,28.33,10,11,16,0,30,0
16/11/2009 00:35,28.33,10,11,16,0,35,0
16/11/2009 00:40,28.33,10,11,16,0,40,0
16/11/2009 00:45,28.33,10,11,16,0,45,0
16/11/2009 00:50,28.33,10,11,16,0,50,0
16/11/2009 00:55,28.33,10,11,16,0,55,0
16/11/2009 01:00,22.96,10,11,16,1,0,0
